File : C:\DENSITOM\WORKING\OCST362.DAT
Cores :
19
21
24
25
31
31

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 19
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 3 1991  21.7 21.7 14.7  0.0   0  14.8   14.8 321  321    0    0  272  468  196
 4 1992  39.4 17.7 17.7  0.0   0  34.0   48.8 323  323    0    0  258  428  170
 5 1993  58.6 19.2 19.2  0.0   0  59.1  107.9 308  308    0    0  257  418  161
 6 1994  79.3 20.7 19.8  0.9   4  89.7  197.6 305  295  518  223  241  533  292
 7 1995 100.6 21.3 20.4  0.9   4 120.4  317.9 357  350  527  177  291  539  248
 8 1996 119.2 18.6 17.1  1.5   8 128.4  446.4 364  348  541  193  266  558  292
 9 1997 139.9 20.7 20.7  0.0   0 168.5  614.9 324  324    0    0  273  473  200
10 1998 155.2 15.3 13.2  2.1  13 141.8  756.7 370  340  558  218  294  596  302
11 1999 172.3 17.1 14.7  2.4  14 175.9  932.7 407  383  556  173  319  604  285
12 2000 187.9 15.6 13.8  1.8  11 176.5 1109.2 377  354  552  198  304  589  285
13 2001 199.6 11.7  9.9  1.8  15 142.4 1251.6 391  359  569  210  309  611  302
14 2002 209.8 10.2  8.7  1.5  14 131.2 1382.8 407  381  557  176  332  591  259
15 2003 220.3 10.5  8.4  2.1  20 141.9 1524.7 409  367  579  212  318  639  321
16 2004 230.2  9.9  6.9  3.0  30 140.1 1664.8 465  427  551  124  371  596  225
17 2005 241.3 11.1  9.3  1.8  16 164.4 1829.2 390  359  549  190  304  583  279
18 2006 250.6  9.3  6.3  3.0  32 143.7 1972.9 437  400  516  116  341  552  211
19 2007 258.1  7.5  6.6  0.9  12 119.9 2092.8 398  373  580  207  310  600  290
20 2008 265.6  7.5  5.7  1.8  24 123.4 2216.2 415  377  536  159  314  582  268
21 2009 272.8  7.2  6.0  1.2  16 121.8 2338.0 395  368  526  158  296  564  268
22 2010 279.7  6.9  5.7  1.2  17 119.8 2457.7 408  377  557  180  321  575  254
23 2011 290.2 10.5  9.9  0.6   5 188.0 2645.7 371  361  531  170  283  550  267
24 2012 299.5  9.3  8.7  0.6   6 172.3 2818.0 399  389  541  152  313  554  241
25 2013 306.1  6.6  5.1  1.5  22 125.6 2943.6 397  352  550  198  314  610  296
26 2014 316.6 10.5  9.9  0.6   5 205.4 3149.0 366  358  503  145  287  506  219
27 2015 324.7  8.1  6.0  2.1  25 163.2 3312.2 453  416  559  143  348  600  252
28 2016 334.0  9.3  7.2  2.1  22 192.5 3504.6 437  402  557  155  336  599  263

Core Length:  327.0 mm
Core Density: 384 kg/m3
Cross-sectional Density:  391 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.16

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 21
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 1 1970  23.4 23.4 16.5  0.9   3  17.2   17.2 317  306  523  217  171  541  370
 2 1971  41.4 18.0 17.1  0.9   5  36.6   53.8 352  343  540  197  293  563  270
 3 1972  59.1 17.7 16.2  1.5   8  55.9  109.7 372  357  534  177  309  552  243
 4 1973  79.2 20.1 17.7  2.4  11  87.3  197.1 410  388  573  185  315  637  322
 5 1974  98.4 19.2 16.2  3.0  15 107.1  304.2 417  391  560  169  318  618  300
 6 1975 117.3 18.9 16.5  2.4  12 128.1  432.3 386  358  576  218  283  617  334
 7 1976 135.3 18.0 16.2  1.8  10 142.8  575.1 358  339  534  195  288  568  280
