File : C:\DENSITOM\BLUEMO~2\BLMT25.DAT
Cores :
5
8
101
102
12
15
21
23
24
29
32
42
47

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 5
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 4 1996  23.4 23.4 14.4  0.0   0  17.2   17.2 317  317    0    0  267  433  166
 5 1997  40.2 16.8 16.8  0.0   0  33.6   50.8 338  338    0    0  278  496  218
 6 1998  58.5 18.3 17.7  0.6   3  56.7  107.5 351  346  512  166  285  519  234
 7 1999  77.4 18.9 17.7  1.2   6  80.7  188.2 375  365  515  150  306  532  226
 8 2000  96.6 19.2 18.3  0.9   4 105.0  293.2 363  355  517  162  301  542  241
 9 2001 107.7 11.1 11.1  0.0   0  71.2  364.4 352  352    0    0  300  445  145
10 2002 119.1 11.4 11.4  0.0   0  81.2  445.6 346  346    0    0  284  488  204
11 2003 129.9 10.8 10.5  0.3   2  84.5  530.1 360  355  532  177  294  532  238
12 2004 139.8  9.9  9.9  0.0   0  83.9  614.0 376  376    0    0  324  490  166
13 2005 151.5 11.7 11.7  0.0   0 107.1  721.1 323  323    0    0  281  484  203
14 2006 162.0 10.5 10.2  0.3   2 103.4  824.5 347  342  506  164  287  506  219
15 2007 170.7  8.7  8.7  0.0   0  90.9  915.4 338  338    0    0  290  475  185
16 2008 180.9 10.2  9.9  0.3   2 112.7 1028.1 361  356  528  172  279  528  249
17 2009 189.9  9.0  8.4  0.6   6 104.8 1132.9 354  342  523  181  294  534  240
18 2010 197.1  7.2  6.6  0.6   8  87.5 1220.5 373  361  509  148  336  512  176
19 2011 203.7  6.6  6.6  0.0   0  83.1 1303.6 341  341    0    0  276  489  213
20 2012 209.4  5.7  5.7  0.0   0  74.0 1377.5 356  356    0    0  302  487  185
21 2013 214.8  5.4  5.4  0.0   0  72.0 1449.5 351  351    0    0  304  481  177
22 2014 220.5  5.7  5.7  0.0   0  77.9 1527.5 354  354    0    0  308  486  178
23 2015 225.9  5.4  5.1  0.3   5  75.7 1603.2 370  362  502  140  298  502  204
24 2016 231.0  5.1  5.1  0.0   0  73.2 1676.4 340  340    0    0  283  468  185

Core Length:  224.7 mm
Core Density: 351 kg/m3
Cross-sectional Density:  353 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.17

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 8
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 4 1996  25.4 25.4 17.4  0.0   0  20.3   20.3 322  322    0    0  273  423  150
 5 1997  44.6 19.2 19.2  0.0   0  42.2   62.5 347  347    0    0  295  474  179
 6 1998  63.2 18.6 18.3  0.3   1  63.0  125.5 337  334  509  175  285  509  224
 7 1999  80.0 16.8 16.5  0.3   1  75.6  201.1 349  346  517  171  265  517  252
 8 2000  95.9 15.9 15.6  0.3   1  87.9  288.9 332  328  503  175  290  503  213
 9 2001 109.7 13.8 13.8  0.0   0  89.1  378.1 338  338    0    0  271  449  178
10 2002 123.2 13.5 13.5  0.0   0  98.8  476.8 312  312    0    0  264  417  153
11 2003 130.7  7.5  7.5  0.0   0  59.8  536.7 330  330    0    0  271  477  206
12 2004 135.5  4.8  4.8  0.0   0  40.1  576.8 375  375    0    0  322  455  133
13 2005 146.9 11.4 11.4  0.0   0 101.1  677.9 317  317    0    0  262  486  224
14 2006 158.6 11.7 11.7  0.0   0 112.3  790.2 337  337    0    0  270  490  220
15 2007 168.8 10.2 10.2  0.0   0 104.9  895.1 340  340    0    0  292  484  192
16 2008 177.2  8.4  7.8  0.6   7  91.3  986.5 381  371  514  143  308  522  214
17 2009 187.7 10.5  9.9  0.6   5 120.4 1106.8 342  332  520  188  285  527  242
18 2010 195.5  7.8  7.5  0.3   3  93.9 1200.7 346  339  529  190  308  529  221
